C,principal_components,gamma,probablity,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
0.3,150,0.0014,False,0.881,0.88,0.63,0.617,0.251
0.3,150,0.0015,False,0.882,0.881,0.629,0.616,0.253
0.3,150,0.0016,False,0.884,0.883,0.629,0.616,0.255
0.3,150,0.0017,False,0.885,0.884,0.628,0.616,0.257
0.3,150,0.0018,False,0.886,0.886,0.629,0.616,0.257
0.3,150,0.0019,False,0.888,0.887,0.628,0.617,0.26
0.3,160,0.0012,False,0.878,0.877,0.628,0.615,0.25
0.3,160,0.0013,False,0.88,0.879,0.629,0.616,0.251
0.3,160,0.0014,False,0.882,0.881,0.63,0.617,0.252
0.3,160,0.0015,False,0.883,0.882,0.631,0.618,0.252
0.3,160,0.0016,False,0.884,0.883,0.631,0.618,0.253
0.3,160,0.0017,False,0.885,0.884,0.63,0.617,0.255
0.3,160,0.0018,False,0.887,0.886,0.63,0.618,0.257
0.3,160,0.0019,False,0.888,0.887,0.629,0.617,0.259
0.3,170,0.0012,False,0.879,0.878,0.628,0.615,0.251
0.3,170,0.0013,False,0.88,0.879,0.628,0.615,0.252
0.3,170,0.0014,False,0.882,0.881,0.63,0.617,0.252
0.3,170,0.0015,False,0.883,0.882,0.631,0.618,0.252
0.3,170,0.0016,False,0.885,0.884,0.63,0.617,0.255
0.3,170,0.0017,False,0.886,0.885,0.63,0.618,0.256
0.3,170,0.0018,False,0.887,0.886,0.629,0.617,0.258
0.3,170,0.0019,False,0.889,0.888,0.63,0.617,0.259
0.3,180,0.0012,False,0.879,0.878,0.628,0.615,0.251
0.3,180,0.0013,False,0.881,0.88,0.629,0.616,0.252
0.3,180,0.0014,False,0.882,0.881,0.629,0.617,0.253
0.3,180,0.0015,False,0.884,0.883,0.629,0.616,0.255
0.3,180,0.0016,False,0.885,0.884,0.63,0.618,0.255
0.3,180,0.0017,False,0.886,0.886,0.63,0.617,0.256
0.3,180,0.0018,False,0.888,0.887,0.63,0.618,0.258
0.3,180,0.0019,False,0.889,0.888,0.63,0.618,0.259
0.3,190,0.0012,False,0.879,0.878,0.629,0.616,0.25
0.3,190,0.0013,False,0.881,0.88,0.629,0.616,0.252
0.3,190,0.0014,False,0.882,0.882,0.63,0.617,0.252
0.3,190,0.0015,False,0.884,0.883,0.631,0.618,0.253
0.3,190,0.0016,False,0.885,0.884,0.631,0.619,0.254
0.3,190,0.0017,False,0.887,0.886,0.631,0.619,0.256
0.3,190,0.0018,False,0.888,0.887,0.631,0.619,0.257
0.3,190,0.0019,False,0.889,0.888,0.631,0.619,0.258
0.35,120,0.0012,False,0.879,0.878,0.626,0.614,0.253
0.35,120,0.0013,False,0.88,0.879,0.625,0.614,0.255
0.35,120,0.0014,False,0.882,0.881,0.625,0.613,0.257
0.35,120,0.0015,False,0.883,0.882,0.625,0.614,0.258
0.35,120,0.0016,False,0.885,0.884,0.624,0.613,0.261
0.35,120,0.0017,False,0.886,0.885,0.624,0.614,0.262
0.35,120,0.0018,False,0.888,0.887,0.625,0.614,0.263
0.35,120,0.0019,False,0.889,0.888,0.626,0.615,0.263
0.35,130,0.0012,False,0.879,0.878,0.624,0.612,0.255
0.35,130,0.0013,False,0.881,0.88,0.624,0.612,0.257
0.35,130,0.0014,False,0.883,0.882,0.625,0.613,0.258
0.35,130,0.0015,False,0.884,0.883,0.624,0.612,0.26
0.35,130,0.0016,False,0.886,0.885,0.624,0.613,0.262
0.35,130,0.0017,False,0.887,0.886,0.624,0.613,0.263
0.35,130,0.0018,False,0.888,0.888,0.624,0.614,0.264
0.35,130,0.0019,False,0.89,0.889,0.624,0.614,0.266
0.35,140,0.0012,False,0.88,0.879,0.625,0.613,0.255
0.35,140,0.0013,False,0.882,0.881,0.626,0.614,0.256
0.35,140,0.0014,False,0.883,0.882,0.625,0.614,0.258
0.35,140,0.0015,False,0.885,0.884,0.625,0.614,0.26
0.35,140,0.0016,False,0.886,0.885,0.624,0.613,0.262
0.35,140,0.0017,False,0.888,0.887,0.624,0.613,0.264
0.35,140,0.0018,False,0.889,0.888,0.625,0.614,0.264
0.35,140,0.0019,False,0.891,0.89,0.626,0.615,0.265
0.35,150,0.0012,False,0.88,0.879,0.627,0.615,0.253
0.35,150,0.0013,False,0.882,0.881,0.627,0.614,0.255
0.35,150,0.0014,False,0.884,0.883,0.627,0.615,0.257
0.35,150,0.0015,False,0.885,0.884,0.626,0.614,0.259
0.35,150,0.0016,False,0.887,0.886,0.625,0.614,0.262
0.35,150,0.0017,False,0.888,0.887,0.625,0.614,0.263
0.35,150,0.0018,False,0.89,0.889,0.625,0.614,0.265
0.35,150,0.0019,False,0.891,0.89,0.625,0.615,0.266
0.35,160,0.0012,False,0.881,0.88,0.627,0.615,0.254
0.35,160,0.0013,False,0.883,0.882,0.627,0.615,0.256
0.35,160,0.0014,False,0.884,0.883,0.627,0.616,0.257
0.35,160,0.0015,False,0.886,0.885,0.627,0.616,0.259
0.35,160,0.0016,False,0.887,0.886,0.627,0.616,0.26
0.35,160,0.0017,False,0.889,0.888,0.626,0.616,0.263
0.35,160,0.0018,False,0.89,0.889,0.626,0.615,0.264
0.35,160,0.0019,False,0.892,0.891,0.627,0.616,0.265
0.35,170,0.0012,False,0.881,0.88,0.627,0.615,0.254
0.35,170,0.0013,False,0.883,0.882,0.627,0.615,0.256
0.35,170,0.0014,False,0.885,0.884,0.627,0.615,0.258
